instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group
DIAGIQE[N=50],BasinGraph,1e-05,30,2,0.06666666666666667,36005.0,1005.0,50,medium_21_100
DIAGIQE[N=50],BasinGraph,0.001,30,30,1.0,999.8,999.0,50,medium_21_100
DIAGIQE[N=50],BasinGraph,0.1,30,30,1.0,862.5666666666667,882.0,50,medium_21_100
DIAGIQE[N=50],CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],CMA-ES,0.1,30,30,1.0,1173.2,1162.0,50,medium_21_100
DIAGIQE[N=50],Differential Evolution,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Differential Evolution,0.1,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Latin Hypercube Sampling,0.1,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Multi-start L-BFGS-B,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Multi-start L-BFGS-B,0.1,30,30,1.0,52.0,52.0,50,medium_21_100
DIAGIQE[N=50],Random Search,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Random Search,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],Random Search,0.1,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],BIPOP-CMA-ES,0.1,30,30,1.0,1192.6666666666667,1139.0,50,medium_21_100
DIAGIQT[N=50],BasinGraph,1e-05,30,30,1.0,930.0,930.0,50,medium_21_100
DIAGIQT[N=50],BasinGraph,0.001,30,30,1.0,924.0,924.0,50,medium_21_100
DIAGIQT[N=50],BasinGraph,0.1,30,30,1.0,914.0,914.0,50,medium_21_100
DIAGIQT[N=50],CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],CMA-ES,0.1,30,30,1.0,1068.6666666666667,1055.5,50,medium_21_100
DIAGIQT[N=50],Differential Evolution,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],Differential Evolution,0.1,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQT[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100
