instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group,best_ert_problem,performance_ratio
S368[N=50],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100,37443.0,inf
S368[N=50],BasinGraph,0.001,30,0,0.0,inf,,50,medium_21_100,37443.0,inf
S368[N=50],CMA-ES,0.001,30,2,0.06666666666666667,37443.0,2443.0,50,medium_21_100,37443.0,1.0
S368[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100,37443.0,inf
S368[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100,37443.0,inf
S368[N=50],Multi-start L-BFGS-B,0.001,30,1,0.03333333333333333,74694.0,2194.0,50,medium_21_100,37443.0,1.9948722057527442
S368[N=50],Random Search,0.001,30,0,0.0,inf,,50,medium_21_100,37443.0,inf
SANTALS,BIPOP-CMA-ES,0.001,30,0,0.0,inf,,21,medium_21_100,31282.0,inf
SANTALS,BasinGraph,0.001,30,1,0.03333333333333333,31282.0,832.0,21,medium_21_100,31282.0,1.0
SANTALS,CMA-ES,0.001,30,0,0.0,inf,,21,medium_21_100,31282.0,inf
SANTALS,Differential Evolution,0.001,30,0,0.0,inf,,21,medium_21_100,31282.0,inf
SANTALS,Latin Hypercube Sampling,0.001,30,0,0.0,inf,,21,medium_21_100,31282.0,inf
SANTALS,Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,21,medium_21_100,31282.0,inf
SANTALS,Random Search,0.001,30,0,0.0,inf,,21,medium_21_100,31282.0,inf
SINEALI[N=100],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,154.0,inf
SINEALI[N=100],BasinGraph,0.001,30,30,1.0,154.0,154.0,100,medium_21_100,154.0,1.0
SINEALI[N=100],CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,154.0,inf
SINEALI[N=100],Differential Evolution,0.001,30,0,0.0,inf,,100,medium_21_100,154.0,inf
SINEALI[N=100],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,100,medium_21_100,154.0,inf
SINEALI[N=100],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,100,medium_21_100,154.0,inf
SINEALI[N=100],Random Search,0.001,30,0,0.0,inf,,100,medium_21_100,154.0,inf
STRTCHDVB[N=100],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,1.0,inf
STRTCHDVB[N=100],BasinGraph,0.001,30,30,1.0,1.0,1.0,100,medium_21_100,1.0,1.0
STRTCHDVB[N=100],CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,1.0,inf
STRTCHDVB[N=100],Differential Evolution,0.001,30,0,0.0,inf,,100,medium_21_100,1.0,inf
STRTCHDVB[N=100],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,100,medium_21_100,1.0,inf
STRTCHDVB[N=100],Multi-start L-BFGS-B,0.001,30,30,1.0,1.0,1.0,100,medium_21_100,1.0,1.0
STRTCHDVB[N=100],Random Search,0.001,30,30,1.0,1.0,1.0,100,medium_21_100,1.0,1.0
TRIGON1B[N=100],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,2.0,inf
TRIGON1B[N=100],BasinGraph,0.001,30,30,1.0,2.0,2.0,100,medium_21_100,2.0,1.0
TRIGON1B[N=100],CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,2.0,inf
TRIGON1B[N=100],Differential Evolution,0.001,30,0,0.0,inf,,100,medium_21_100,2.0,inf
TRIGON1B[N=100],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,100,medium_21_100,2.0,inf
TRIGON1B[N=100],Multi-start L-BFGS-B,0.001,30,30,1.0,102.0,102.0,100,medium_21_100,2.0,51.0
TRIGON1B[N=100],Random Search,0.001,30,0,0.0,inf,,100,medium_21_100,2.0,inf
TRIGON2B[N=100],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,1466.0,inf
