problem_id,function_index,function_group,dimension,instance_index,fbest,final_value_rank,budget,nfe,archive_nodes,archive_capacity,archive_saturated,graph_edges,graph_edges_per_node,mean_node_visits,max_node_visits,mean_node_novelty,mean_edge_accessibility,max_edge_accessibility,positive_improvement_edges,positive_improvement_edge_fraction,use_center_local,use_far_basin,diag_dimension,diag_mean_scale,diag_max_scale,diag_anisotropy,diag_boundary_signal,diag_ruggedness_score,diag_sign_change_rate,diag_finite_anchor_fraction,diag_valid_axis_triplets,phase_initial_design_nfe,phase_initial_design_fraction,phase_center_local_nfe,phase_center_local_fraction,phase_coordinate_sweep_nfe,phase_coordinate_sweep_fraction,phase_far_basin_nfe,phase_far_basin_fraction,phase_archive_fallback_nfe,phase_archive_fallback_fraction,phase_final_polish_nfe,phase_final_polish_fraction,phase_budget_completion_nfe,phase_budget_completion_fraction
bbob_f012_i03_d02,12,High conditioning / unimodal (f10-f14),2,3,56.6100001929724,5.0,2000,2000,80,80,True,203,2.5375,3.65,40.0,0.6259399908029124,0.12831101038070006,1.0,76,0.37438423645320196,True,True,2,10.0,10.0,1.0,1.116434219417021,0.9933510524449306,0.0,1.0,2,33,0.0165,240.0,0.12,257,0.1285,32.0,0.016,200,0.1,100,0.05,1138,0.569
bbob_f013_i01_d02,13,High conditioning / unimodal (f10-f14),2,1,30.584353876819232,6.0,2000,2000,80,80,True,127,1.5875,2.4375,27.0,0.7457642826261552,0.14657729415502402,1.0,49,0.3858267716535433,True,True,2,10.0,10.0,1.0,-0.5954705250319153,0.5156407370289879,0.5,1.0,2,33,0.0165,165.0,0.0825,372,0.186,32.0,0.016,200,0.1,100,0.05,1098,0.549
bbob_f013_i02_d02,13,High conditioning / unimodal (f10-f14),2,2,-51.709997913272915,5.0,2000,2000,80,80,True,110,1.375,2.35,23.0,0.751424279090889,0.1633721364248959,1.0,48,0.43636363636363634,True,True,2,10.0,10.0,1.0,-0.4376400295110466,0.6628564296609218,1.0,1.0,2,33,0.0165,300.0,0.15,372,0.186,32.0,0.016,200,0.1,100,0.05,963,0.4815
bbob_f013_i03_d02,13,High conditioning / unimodal (f10-f14),2,3,-279.94747065634357,5.0,2000,2000,80,80,True,116,1.45,2.45,22.0,0.6947225882376863,0.15209864658199115,1.0,50,0.43103448275862066,True,True,2,10.0,10.0,1.0,-0.8951526380822887,0.9804023532606325,0.5,1.0,2,33,0.0165,300.0,0.15,372,0.186,32.0,0.016,200,0.1,100,0.05,963,0.4815
bbob_f014_i01_d02,14,High conditioning / unimodal (f10-f14),2,1,-52.34999994682339,5.0,2000,2000,80,80,True,141,1.7625,2.7875,34.0,0.7087063586646783,0.26519039637701075,1.0,55,0.3900709219858156,True,True,2,10.0,10.0,1.0,-1.689507266040717,0.4523537270957992,1.0,1.0,2,33,0.0165,135.0,0.0675,326,0.163,32.0,0.016,200,0.1,100,0.05,1174,0.587
bbob_f014_i02_d02,14,High conditioning / unimodal (f10-f14),2,2,-179.53999999971848,4.0,2000,2000,80,80,True,121,1.5125,2.475,31.0,0.7608073863475125,0.2637707407097129,1.0,44,0.36363636363636365,True,False,2,10.0,10.0,1.0,-0.1312354138250318,0.08543090007686746,1.0,1.0,2,33,0.0165,108.0,0.054,342,0.171,,,200,0.1,100,0.05,1217,0.6085
bbob_f014_i03_d02,14,High conditioning / unimodal (f10-f14),2,3,77.31000002033359,4.0,2000,2000,80,80,True,154,1.925,2.85,31.0,0.695347075487415,0.26136879572240856,1.0,52,0.33766233766233766,True,True,2,10.0,10.0,1.0,-0.8110730792822703,0.19449978286581127,1.0,1.0,2,33,0.0165,183.0,0.0915,346,0.173,32.0,0.016,200,0.1,100,0.05,1106,0.553
bbob_f015_i01_d02,15,Multimodal with global structure (f15-f19),2,1,1000.9949590570932,3.5,2000,2000,80,80,True,260,3.25,4.65,41.0,0.5820710376200695,0.15056125671738763,0.5,118,0.45384615384615384,True,True,2,10.0,10.0,1.0,-0.24045087438259297,0.11953850502282971,1.0,1.0,2,33,0.0165,87.0,0.0435,365,0.1825,32.0,0.016,165,0.0825,27,0.0135,1291,0.6455
bbob_f015_i02_d02,15,Multimodal with global structure (f15-f19),2,2,71.0249590570933,3.0,2000,2000,80,80,True,309,3.8625,5.7125,34.0,0.5522537201097639,0.15101382894569787,0.5,138,0.44660194174757284,True,True,2,10.0,10.0,1.0,-1.057295584626986,0.4535546418978691,0.0,1.0,2,33,0.0165,33.0,0.0165,403,0.2015,32.0,0.016,200,0.1,27,0.0135,1272,0.636
bbob_f015_i03_d02,15,Multimodal with global structure (f15-f19),2,3,-48.21999999999999,2.0,2000,2000,80,80,True,348,4.35,6.5875,79.0,0.524463927785314,0.13867612855356953,1.0,145,0.4166666666666667,True,True,2,10.0,10.0,1.0,-1.3153719923142155,1.2009169390312928,1.0,1.0,2,33,0.0165,51.0,0.0255,444,0.222,32.0,0.016,200,0.1,48,0.024,1192,0.596
bbob_f016_i01_d02,16,Multimodal with global structure (f15-f19),2,1,71.36919976621135,4.0,2000,2000,80,80,True,129,1.6125,2.6125,23.0,0.7098191346578238,0.10969621837119467,1.0,52,0.40310077519379844,True,True,2,10.0,10.0,1.0,-0.04036455949123835,0.2312942910771438,0.0,1.0,2,33,0.0165,183.0,0.0915,600,0.3,32.0,0.016,200,0.1,100,0.05,852,0.426
bbob_f016_i02_d02,16,Multimodal with global structure (f15-f19),2,2,-355.2198944468276,4.0,2000,2000,80,80,True,123,1.5375,2.525,23.0,0.7342312142670866,0.09896481568996081,1.0,44,0.35772357723577236,True,True,2,10.0,10.0,1.0,-0.20469071638750305,0.16543481143431407,0.5,1.0,2,33,0.0165,93.0,0.0465,600,0.3,32.0,0.016,200,0.1,100,0.05,942,0.471
