algorithm,evaluations_per_dimension,fraction_problem_seed_pairs_solved,target_residual,problem_seed_pairs
BIPOP-CMA-ES,8.187113426984999,0.023333333333333334,0.001,1500
BIPOP-CMA-ES,8.410182700536762,0.023333333333333334,0.001,1500
BIPOP-CMA-ES,8.639329806189757,0.024666666666666667,0.001,1500
BIPOP-CMA-ES,8.874720342918963,0.024666666666666667,0.001,1500
BIPOP-CMA-ES,9.116524421673374,0.026,0.001,1500
BIPOP-CMA-ES,9.364916788311017,0.026,0.001,1500
BIPOP-CMA-ES,9.62007694988344,0.026,0.001,1500
BIPOP-CMA-ES,9.88218930436109,0.026,0.001,1500
BIPOP-CMA-ES,10.151443273893141,0.027333333333333334,0.001,1500
BIPOP-CMA-ES,10.428033441698254,0.028,0.001,1500
BIPOP-CMA-ES,10.712159692685082,0.029333333333333333,0.001,1500
BIPOP-CMA-ES,11.00402735790415,0.03,0.001,1500
BIPOP-CMA-ES,11.303847362935564,0.03133333333333333,0.001,1500
BIPOP-CMA-ES,11.611836380319764,0.032,0.001,1500
BIPOP-CMA-ES,11.928216986141395,0.032,0.001,1500
BIPOP-CMA-ES,12.253217820879584,0.032,0.001,1500
BIPOP-CMA-ES,12.587073754640814,0.032,0.001,1500
BIPOP-CMA-ES,12.930026056893727,0.03266666666666666,0.001,1500
BIPOP-CMA-ES,13.282322570828654,0.03333333333333333,0.001,1500
BIPOP-CMA-ES,13.644217892467811,0.034,0.001,1500
BIPOP-CMA-ES,14.01597355465553,0.03666666666666667,0.001,1500
BIPOP-CMA-ES,14.397858216061666,0.037333333333333336,0.001,1500
BIPOP-CMA-ES,14.790147855334562,0.03866666666666667,0.001,1500
BIPOP-CMA-ES,15.193125970544042,0.04066666666666666,0.001,1500
BIPOP-CMA-ES,15.607083784058522,0.04133333333333333,0.001,1500
BIPOP-CMA-ES,16.032320453004196,0.042,0.001,1500
BIPOP-CMA-ES,16.469143285458557,0.042,0.001,1500
BIPOP-CMA-ES,16.91786796253441,0.043333333333333335,0.001,1500
BIPOP-CMA-ES,17.378818766514787,0.044,0.001,1500
BIPOP-CMA-ES,17.85232881520381,0.046,0.001,1500
BIPOP-CMA-ES,18.338740302662742,0.04666666666666667,0.001,1500
BIPOP-CMA-ES,18.838404746505184,0.048,0.001,1500
BIPOP-CMA-ES,19.351683241930232,0.048,0.001,1500
BIPOP-CMA-ES,19.87894672267707,0.048,0.001,1500
