algorithm,performance_ratio_threshold,fraction_of_problems,target_residual
BIPOP-CMA-ES,2.7630712009878726,0.12,0.001
BIPOP-CMA-ES,2.8522367984900807,0.12,0.001
BIPOP-CMA-ES,2.944279811447628,0.12,0.001
BIPOP-CMA-ES,3.0392930954004833,0.12,0.001
BIPOP-CMA-ES,3.1373725023802344,0.14,0.001
BIPOP-CMA-ES,3.238616977608276,0.16,0.001
BIPOP-CMA-ES,3.3431286593144853,0.16,0.001
BIPOP-CMA-ES,3.451012981777097,0.16,0.001
BIPOP-CMA-ES,3.5623787816877246,0.18,0.001
BIPOP-CMA-ES,3.677338407948824,0.18,0.001
BIPOP-CMA-ES,3.796007835014383,0.18,0.001
BIPOP-CMA-ES,3.9185067798881548,0.18,0.001
BIPOP-CMA-ES,4.044958822897493,0.18,0.001
BIPOP-CMA-ES,4.1754915323646005,0.18,0.001
BIPOP-CMA-ES,4.310236593300993,0.18,0.001
BIPOP-CMA-ES,4.449329940254976,0.18,0.001
BIPOP-CMA-ES,4.592911894446188,0.2,0.001
BIPOP-CMA-ES,4.74112730532553,0.2,0.001
BIPOP-CMA-ES,4.894125696703299,0.2,0.001
BIPOP-CMA-ES,5.052061417592952,0.2,0.001
BIPOP-CMA-ES,5.215093797922664,0.2,0.001
BIPOP-CMA-ES,5.383387309271767,0.2,0.001
BIPOP-CMA-ES,5.557111730794241,0.2,0.001
BIPOP-CMA-ES,5.736442320496613,0.24,0.001
BIPOP-CMA-ES,5.921559992043101,0.24,0.001
BIPOP-CMA-ES,6.1126514972663175,0.24,0.001
BIPOP-CMA-ES,6.309909614567694,0.24,0.001
BIPOP-CMA-ES,6.513533343397664,0.24,0.001
BIPOP-CMA-ES,6.723728105011829,0.24,0.001
BIPOP-CMA-ES,6.940705949705596,0.24,0.001
BIPOP-CMA-ES,7.1646857707364004,0.26,0.001
BIPOP-CMA-ES,7.39589352514927,0.26,0.001
BIPOP-CMA-ES,7.634562461728565,0.26,0.001
BIPOP-CMA-ES,7.880933356305793,0.26,0.001
BIPOP-CMA-ES,8.135254754660945,0.26,0.001
BIPOP-CMA-ES,8.397783223262364,0.26,0.001
BIPOP-CMA-ES,8.668783608098082,0.26,0.001
BIPOP-CMA-ES,8.948529301859814,0.26,0.001
BIPOP-CMA-ES,9.23730251974905,0.26,0.001
BIPOP-CMA-ES,9.535394584183583,0.26,0.001
BIPOP-CMA-ES,9.843106218691615,0.26,0.001
BIPOP-CMA-ES,10.16074785128999,0.26,0.001
BIPOP-CMA-ES,10.488639927652564,0.26,0.001
BIPOP-CMA-ES,10.827113234384683,0.26,0.001
BIPOP-CMA-ES,11.176509232729869,0.26,0.001
BIPOP-CMA-ES,11.537180403045351,0.26,0.001
BIPOP-CMA-ES,11.909490600394049,0.26,0.001
BIPOP-CMA-ES,12.293815421611614,0.26,0.001
BIPOP-CMA-ES,12.690542584218917,0.28,0.001
BIPOP-CMA-ES,13.100072317562208,0.28,0.001
BIPOP-CMA-ES,13.522817766575592,0.3,0.001
BIPOP-CMA-ES,13.95920540857305,0.3,0.001
BIPOP-CMA-ES,14.409675483490583,0.3,0.001
BIPOP-CMA-ES,14.874682438012416,0.3,0.001
